id,question,equation,answer,source
0,상자 안에 74개의 공이 있습니다. 윤기이가 72개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,74 + 72,146,boostaugment
1,상자 안에 29개의 공이 있습니다. 유정이가 6개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,29 + 6,35,boostaugment
2,상자 안에 92개의 공이 있습니다. 민영이가 48개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,92 + 48,140,boostaugment
3,상자 안에 42개의 공이 있습니다. 유나이가 16개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,42 + 16,58,boostaugment
4,상자 안에 68개의 공이 있습니다. 유나이가 44개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,68 + 44,112,boostaugment
5,상자 안에 29개의 공이 있습니다. 호석이가 56개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,29 + 56,85,boostaugment
6,상자 안에 99개의 공이 있습니다. 태형이가 49개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,99 + 49,148,boostaugment
7,상자 안에 15개의 공이 있습니다. 민영이가 6개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,15 + 6,21,boostaugment
8,상자 안에 52개의 공이 있습니다. 유정이가 54개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,52 + 54,106,boostaugment
9,상자 안에 89개의 공이 있습니다. 유정이가 94개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,89 + 94,183,boostaugment
10,상자 안에 19개의 공이 있습니다. 석진이가 80개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,19 + 80,99,boostaugment
11,상자 안에 100개의 공이 있습니다. 민영이가 32개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,100 + 32,132,boostaugment
12,상자 안에 72개의 공이 있습니다. 지민이가 74개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,72 + 74,146,boostaugment
13,상자 안에 32개의 공이 있습니다. 은지이가 52개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,32 + 52,84,boostaugment
14,상자 안에 7개의 공이 있습니다. 석진이가 10개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,7 + 10,17,boostaugment
15,상자 안에 73개의 공이 있습니다. 남진이가 41개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,73 + 41,114,boostaugment
16,상자 안에 81개의 공이 있습니다. 유나이가 61개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,81 + 61,142,boostaugment
17,상자 안에 89개의 공이 있습니다. 유정이가 9개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,89 + 9,98,boostaugment
18,상자 안에 25개의 공이 있습니다. 유나이가 8개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,25 + 8,33,boostaugment
19,상자 안에 55개의 공이 있습니다. 남진이가 67개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,55 + 67,122,boostaugment
20,상자 안에 9개의 공이 있습니다. 은지이가 23개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,9 + 23,32,boostaugment
21,상자 안에 56개의 공이 있습니다. 석진이가 57개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,56 + 57,113,boostaugment
22,상자 안에 78개의 공이 있습니다. 태형이가 61개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,78 + 61,139,boostaugment
23,상자 안에 93개의 공이 있습니다. 유정이가 84개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,93 + 84,177,boostaugment
24,상자 안에 55개의 공이 있습니다. 유정이가 43개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,55 + 43,98,boostaugment
25,상자 안에 87개의 공이 있습니다. 민영이가 2개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,87 + 2,89,boostaugment
26,상자 안에 79개의 공이 있습니다. 정국이가 31개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,79 + 31,110,boostaugment
27,상자 안에 21개의 공이 있습니다. 석진이가 15개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,21 + 15,36,boostaugment
28,상자 안에 68개의 공이 있습니다. 유나이가 70개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,68 + 70,138,boostaugment
29,상자 안에 40개의 공이 있습니다. 지민이가 86개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,40 + 86,126,boostaugment
30,상자 안에 49개의 공이 있습니다. 남진이가 14개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,49 + 14,63,boostaugment
31,상자 안에 67개의 공이 있습니다. 남진이가 24개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,67 + 24,91,boostaugment
32,상자 안에 1개의 공이 있습니다. 태형이가 17개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,1 + 17,18,boostaugment
33,상자 안에 27개의 공이 있습니다. 호석이가 11개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,27 + 11,38,boostaugment
34,상자 안에 94개의 공이 있습니다. 석진이가 18개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,94 + 18,112,boostaugment
35,상자 안에 18개의 공이 있습니다. 유정이가 12개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,18 + 12,30,boostaugment
36,상자 안에 93개의 공이 있습니다. 은지이가 72개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,93 + 72,165,boostaugment
37,상자 안에 52개의 공이 있습니다. 윤기이가 66개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,52 + 66,118,boostaugment
38,상자 안에 96개의 공이 있습니다. 남진이가 59개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,96 + 59,155,boostaugment
39,상자 안에 59개의 공이 있습니다. 유정이가 53개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,59 + 53,112,boostaugment
40,상자 안에 42개의 공이 있습니다. 은지이가 9개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,42 + 9,51,boostaugment
41,상자 안에 67개의 공이 있습니다. 석진이가 12개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,67 + 12,79,boostaugment
42,상자 안에 98개의 공이 있습니다. 호석이가 88개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,98 + 88,186,boostaugment
43,상자 안에 46개의 공이 있습니다. 태형이가 29개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,46 + 29,75,boostaugment
44,상자 안에 2개의 공이 있습니다. 정국이가 88개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,2 + 88,90,boostaugment
45,상자 안에 43개의 공이 있습니다. 호석이가 77개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,43 + 77,120,boostaugment
46,상자 안에 71개의 공이 있습니다. 유정이가 81개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,71 + 81,152,boostaugment
47,상자 안에 73개의 공이 있습니다. 은지이가 96개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,73 + 96,169,boostaugment
48,상자 안에 21개의 공이 있습니다. 민영이가 28개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,21 + 28,49,boostaugment
49,상자 안에 26개의 공이 있습니다. 태형이가 68개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,26 + 68,94,boostaugment
50,상자 안에 91개의 공이 있습니다. 은지이가 65개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,91 + 65,156,boostaugment
51,상자 안에 27개의 공이 있습니다. 호석이가 90개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,27 + 90,117,boostaugment
52,상자 안에 70개의 공이 있습니다. 유나이가 78개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,70 + 78,148,boostaugment
53,상자 안에 83개의 공이 있습니다. 석진이가 99개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,83 + 99,182,boostaugment
54,상자 안에 100개의 공이 있습니다. 민영이가 60개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,100 + 60,160,boostaugment
55,상자 안에 29개의 공이 있습니다. 은지이가 76개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,29 + 76,105,boostaugment
56,상자 안에 33개의 공이 있습니다. 유정이가 65개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,33 + 65,98,boostaugment
57,상자 안에 41개의 공이 있습니다. 윤기이가 53개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,41 + 53,94,boostaugment
58,상자 안에 67개의 공이 있습니다. 유나이가 51개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,67 + 51,118,boostaugment
59,상자 안에 93개의 공이 있습니다. 호석이가 57개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,93 + 57,150,boostaugment
60,상자 안에 9개의 공이 있습니다. 남진이가 80개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,9 + 80,89,boostaugment
