	question	equation
0	바구니에 강아지가 12개 있습니다. 어머니이가 바구니에 강아지 27개를 더 넣었습니다. 바구니 안에 있는 강아지는 모두 몇 개입니까?	12 + 27
1	바구니에 바둑돌가 18개 있습니다. 은지이가 바구니에 바둑돌 3개를 더 넣었습니다. 바구니 안에 있는 바둑돌는 모두 몇 개입니까?	18 + 3
2	바구니에 배가 11개 있습니다. 손녀이가 바구니에 배 27개를 더 넣었습니다. 바구니 안에 있는 배는 모두 몇 개입니까?	11 + 27
3	바구니에 바둑돌가 11개 있습니다. 민영이가 바구니에 바둑돌 5개를 더 넣었습니다. 바구니 안에 있는 바둑돌는 모두 몇 개입니까?	11 + 5
4	바구니에 달팽이가 4개 있습니다. 어머니이가 바구니에 달팽이 20개를 더 넣었습니다. 바구니 안에 있는 달팽이는 모두 몇 개입니까?	4 + 20
5	바구니에 토끼가 25개 있습니다. 이모이가 바구니에서 토끼 30개를 가져갔습니다. 바구니 안에 있는 토끼는 모두 몇 개입니까?	25 - 30
6	바구니에 장미가 4개 있습니다. 유나이가 바구니에서 장미 3개를 가져갔습니다. 바구니 안에 있는 장미는 모두 몇 개입니까?	4 - 3
7	바구니에 비둘기가 5개 있습니다. 조카이가 바구니에서 비둘기 18개를 가져갔습니다. 바구니 안에 있는 비둘기는 모두 몇 개입니까?	5 - 18
8	바구니에 카네이션가 28개 있습니다. 지민이가 바구니에서 카네이션 3개를 가져갔습니다. 바구니 안에 있는 카네이션는 모두 몇 개입니까?	28 - 3
9	바구니에 장난감가 17개 있습니다. 삼촌이가 바구니에서 장난감 9개를 가져갔습니다. 바구니 안에 있는 장난감는 모두 몇 개입니까?	17 - 9
10	어머니이는 가지고 있던 바둑돌 중에서 아버지에게 1개를 주고 태형에게 17개를 주었더니 24개가 남았습니다. 처음에 어머니이가 가지고 있던 바둑돌은 몇 개입니까?	24 + 1 + 17
11	이모이는 가지고 있던 감 중에서 조카에게 1개를 주고 민영에게 12개를 주었더니 3개가 남았습니다. 처음에 이모이가 가지고 있던 감은 몇 개입니까?	3 + 1 + 12
12	아버지이는 가지고 있던 오리 중에서 정국에게 22개를 주고 손녀에게 13개를 주었더니 15개가 남았습니다. 처음에 아버지이가 가지고 있던 오리은 몇 개입니까?	15 + 22 + 13
13	할머니이는 가지고 있던 라면 중에서 유정에게 16개를 주고 조카에게 8개를 주었더니 6개가 남았습니다. 처음에 할머니이가 가지고 있던 라면은 몇 개입니까?	6 + 16 + 8
14	유정이는 가지고 있던 비둘기 중에서 형에게 7개를 주고 정국에게 3개를 주었더니 17개가 남았습니다. 처음에 유정이가 가지고 있던 비둘기은 몇 개입니까?	17 + 7 + 3
15	지민이는 가지고 있던 장난감 중에서 조카에게 7개를 받고 민영에게 14개를 주었더니 17개가 남았습니다. 처음에 지민이가 가지고 있던 장난감은 몇 개입니까?	17 - 7 + 14
16	유나이는 가지고 있던 탁구공 중에서 은지에게 5개를 받고 석진에게 21개를 주었더니 12개가 남았습니다. 처음에 유나이가 가지고 있던 탁구공은 몇 개입니까?	12 - 5 + 21
17	민영이는 가지고 있던 야구공 중에서 언니에게 21개를 받고 동생에게 12개를 주었더니 16개가 남았습니다. 처음에 민영이가 가지고 있던 야구공은 몇 개입니까?	16 - 21 + 12
18	오빠이는 가지고 있던 테이프 중에서 태형에게 12개를 받고 형에게 24개를 주었더니 3개가 남았습니다. 처음에 오빠이가 가지고 있던 테이프은 몇 개입니까?	3 - 12 + 24
19	아버지이는 가지고 있던 카네이션 중에서 동생에게 7개를 받고 누나에게 10개를 주었더니 8개가 남았습니다. 처음에 아버지이가 가지고 있던 카네이션은 몇 개입니까?	8 - 7 + 10
20	유나이는 가지고 있던 색연필 중에서 언니에게 23개를 주고 어머니에게 10개를 받았더니 25개가 남았습니다. 처음에 유나이가 가지고 있던 색연필은 몇 개입니까?	25 + 23 - 10
21	이모이는 가지고 있던 오리 중에서 태형에게 22개를 주고 누나에게 27개를 받았더니 25개가 남았습니다. 처음에 이모이가 가지고 있던 오리은 몇 개입니까?	25 + 22 - 27
22	형이는 가지고 있던 배구공 중에서 손녀에게 26개를 주고 동생에게 30개를 받았더니 27개가 남았습니다. 처음에 형이가 가지고 있던 배구공은 몇 개입니까?	27 + 26 - 30
23	민영이는 가지고 있던 무 중에서 형에게 19개를 주고 이모에게 6개를 받았더니 16개가 남았습니다. 처음에 민영이가 가지고 있던 무은 몇 개입니까?	16 + 19 - 6
24	석진이는 가지고 있던 귤 중에서 태형에게 18개를 주고 남준에게 16개를 받았더니 27개가 남았습니다. 처음에 석진이가 가지고 있던 귤은 몇 개입니까?	27 + 18 - 16
25	구슬과 배추이 모두 합해서 27개 있습니다. 구슬이 배추보다 18개 더 적다면 구슬은 몇 개 있습니까?	(27 - 18) / 2
26	김밥과 라면이 모두 합해서 10개 있습니다. 김밥이 라면보다 22개 더 적다면 김밥은 몇 개 있습니까?	(10 - 22) / 2
27	사탕과 무이 모두 합해서 21개 있습니다. 사탕이 무보다 14개 더 적다면 사탕은 몇 개 있습니까?	(21 - 14) / 2
28	풀과 탁구공이 모두 합해서 30개 있습니다. 풀이 탁구공보다 20개 더 적다면 풀은 몇 개 있습니까?	(30 - 20) / 2
29	농구공과 비둘기이 모두 합해서 19개 있습니다. 농구공이 비둘기보다 24개 더 적다면 농구공은 몇 개 있습니까?	(19 - 24) / 2
30	토마토과 공책이 모두 합해서 10개 있습니다. 토마토이 공책보다 30개 더 많다면 토마토은 몇 개 있습니까?	(10 + 30) / 2
