id	question	equation
764	3과 7로 나눌 수 있는 양의 3자리 정수는 몇 개입니까?	math.floor ( 1000 /math.lcm ( 3 , 7 ) ) -math.floor ( 100 /math.lcm ( 3 , 7 ) ) 
3073	(차) 컵에 물을 가득 넣어 (사) 컵에 부었더니 물이 가득 차지 않았습니다. 어느 컵에 물이 더 많이 들어갈까요?	(사)
945	지름의 길이가 10cm인 구의 부피는 얼마입니까	print ( ( 10 / 2 ) ** 3 * math.pi * 4 / 3 )
910	정국이는 11마리의 고양이를 키우고 있습니다. 민영이는 24마리의 고양이가 있습니다. 민영이는 정국이보다 몇 마리의 고양이를 더 많이 키우고 있습니까?	X=24-11
291	특정 짙은 파란색 페인트에는 중량 기준으로 40%의 파란색 안료와 60%의 빨간색 안료가 포함되어 있습니다. 특정 녹색 페인트에는 40%의 파란색 안료와 60%의 노란색 안료가 포함되어 있습니다. 이러한 페인트를 혼합하여 갈색 페인트를 만들면 갈색 페인트에는 청색 안료가 40% 포함됩니다. 갈색 페인트의 무게가 10g이면 빨간색 안료가 그 무게의 몇 그램에 기여합니까?	10 * 40 / 100 / 2 * 60 / 40
746	남준, 석진, 윤기가 시험을 봤다. 남준의 점수가 석진보다 낮고 윤기보다 높았다면, 셋 중 1등은 누구인가?	석진
802	상자에는 69개의 지우개가 있습니다. 은지는 가방에 15개의 지우개가 있습니다. 유나는 상자에서 54개의 지우개를 꺼냅니다. 얼마나 많은 지우개가 상자에 남아 있습니까?	X=69-54
3981	76명의 학생들이 한 줄로 줄을 섰습니다. 은지의 앞에 69명의 학생들이 서 있습니다. 은지의 뒤에 서 있는 학생은 몇 명입니까?	76 - ( 69 + 1 )
3945	97명의 학생들이 한 줄로 줄을 섰습니다. 석진의 앞에 23명의 학생들이 서 있습니다. 석진의 뒤에 서 있는 학생은 몇 명입니까?	97 - ( 23 + 1 )
4147	달리기 시합에서 민영는 79 등을 했고, 윤기는 81 등을 했습니다. 남진는 윤기보다 잘했지만 민영보다는 못했습니다. 남진의 등수는 몇 등입니까?	 ( 79 + 81 ) / 2
1056	은지는 4권의 책을 읽었습니다. 각 책에는 17개의 챕터가 있었습니다. 은지는 총 몇 챕터를 읽었습니까?	X=4*17
409	(가) 식당에서 120원에 햄버거 3개, 쉐이크 7개, 콜라 1개를 살 수 있다. 같은 장소에서 버거 4개, 쉐이크 10개, 콜라 1개에 158.50원가 들었습니다. 버거 1개, 쉐이크 1개, 콜라 1개를 살 때 드는 비용은 얼마입니까?	120 + 158.50 - 120 - ( 158.50 - 120 ) * 3
3021	윤기와 동생의 나이를 합하면 55이고, 두 사람의 나이 차는 30입니다. 윤기의 동생은 몇 살일까요?	( 55 - 30 ) / 2
792	남준이는 13개의 블록이 있습니다. 석진이는 4개의 블록이 있습니다. 석진이는 또 다른 80개를 찾습니다. 석진이는 얼마나 많은 블록이 있습니까?	X=4+80
3098	(나) 컵에 물을 가득 넣어 (하) 컵에 부었더니 물이 넘쳤습니다. 어느 컵에 물이 더 많이 들어갈까요?	(나)
89	남준이와 석진이가 연말에 각각 60,000와 6,000의 배당금을 얻는다면 투자 비율은?	3 * 2 * 100 * 100 / ( 3 * 2 * 100 * 100 / ( ( 2 + 3 ) * 2 ) ) 
84	상자 안에 18개의 공이 있습니다. 민영이가 74개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?	18 + 74
1043	석진이네 마을에는 5,256명의 어른과 2,987명의 아이들이 있습니다. 얼마나 많은 사람들이 석진이네 마을에 살고 있습니까?	X=5256+2987
892	태형이는 생일 케이크에 14개의 촛불을 꽂았습니다. 태형이는 나이가 들었고 생일 케이크에 6개의 초를 더 많이 꽂았습니다. 지금 태형이는 몇 살입니까?	X=14+6
129	은지는 14개의 컵케이크를 만들었습니다. 그녀가 6개를 팔았고 17개를 더 만들었다면 총 몇 개의 컵케이크가 있습니까?	X=14+17-6
391	근로자의 일일 임금은 40% 인상되고 새로운 임금은 하루 35원입니다. 인상 전 근로자의 일일 임금은 얼마였습니까?	35 / ( 1 + 40 / 100 ) 
427	다섯 개의 수 10, 20, 30, 40, 50이 있습니다. 이 중 2, 3, 5로 나누어 떨어지는 수를 구하시오.	[ n for n in [ 10 , 20 , 30 , 40 , 50 ] if n % 2 == 0 and n % 3 == 0 and n % 5 == 0 ] [ 0 ]
553	3개의 수 22, 94, 63가 있습니다. 그 중에서 가장 큰 수와 가장 작은 수의 차는 얼마입니까?	max ( [ 22 , 94 , 63 ] ) - min ( [ 22 , 94 , 63 ] ) 
4383	키가 작은 사람부터 순서대로 18명이 한 줄로 서 있습니다. 지민가 앞에서부터 15번째에 서 있습니다. 키가 큰 사람부터 순서대로 다시 줄을 서면 지민는 앞에서부터 몇 번째에 서게 됩니까?	18 - 15 + 1
3449	2 개의 수 14, 10 로 나누어 떨어질 수 있는 두 자리 수는 모두 몇 개 있습니까?	len ( [ arr for arr in range(10, 100) if arr % 14 == 0 and arr % 10 == 0 ] )
696	태형이는 포도 78송이가 있습니다. 그는 이모에게 44송이를 주었습니다. 태형이에게 남은 포도는 몇 송이입니까?	X=78-44
578	390을 AB로 나누면 10이다. B를 A로 나누면 3일때 A + B 를 구하시오.	a = ( 390 / 10 ) // 10 \nb = ( 390 / 10 ) - 10 * a \nprint( a + b )
854	영희는 둘레가 20cm인 직사각형을 만들었습니다. 직사각형의 가로의 길이가 4cm일 때, 직사각형의 넓이는 몇 제곱센티미터입니까?	4 * ( ( 20 - 4 * 2 ) / 2 )
1105	윤기는 이모를 만나기 위해 873km를 이동했습니다. 호석이는 삼촌을 만나기 위해 563km를 이동했습니다. 윤기는 호석이보다 몇 킬로미터 더 이동했습니까?	X=873-563
1766	민영이는 4와 4를 모았습니다. 은지이는 1과 5을 모았습니다. 누가 모은 수가 더 큽니까?	'민영' if 4+4 > 1+5 else '은지'
4044	70명의 학생들이 한 줄로 줄을 섰습니다. 정국의 앞에 21명의 학생들이 서 있습니다. 정국의 뒤에 서 있는 학생은 몇 명입니까?	70 - ( 21 + 1 )
185	정국은 영어, 수학, 물리학, 화학 및 생물학 분야에서 73, 69, 92, 64 및 82점 (100점 만점)을 획득했습니다. 그의 평균 점수는 무엇입니까?	 ( 73 + 69 + 92 + 64 + 82 ) / ( 10 / 2 ) 
